entidad,pais_de_origen,anio,trimestre,fecha,millones_de_dolares
Aguascalientes,Singapur,2007,3,2007-09-01,-0.74613499999999999
Aguascalientes,Suecia,2007,3,2007-09-01,0
Aguascalientes,Suiza,2007,3,2007-09-01,0
Aguascalientes,Taiwán,2007,3,2007-09-01,0
Aguascalientes,Uruguay,2007,3,2007-09-01,0
Aguascalientes,"Venezuela, República Bolivariana de",2007,3,2007-09-01,0
Aguascalientes,Otros países,2007,3,2007-09-01,0.48493400000000003
Aguascalientes,Alemania,2007,4,2007-12-01,1.5582750000000003
Aguascalientes,Argentina,2007,4,2007-12-01,0
Aguascalientes,Australia,2007,4,2007-12-01,0
Aguascalientes,Austria,2007,4,2007-12-01,0
Aguascalientes,Bélgica,2007,4,2007-12-01,0
Aguascalientes,Brasil,2007,4,2007-12-01,3.4183080000000001
Aguascalientes,Canadá,2007,4,2007-12-01,0.34391900000000003
Aguascalientes,Chile,2007,4,2007-12-01,0
Aguascalientes,"China, República Popular de",2007,4,2007-12-01,0.0046080000000000001
Aguascalientes,Colombia,2007,4,2007-12-01,0
Aguascalientes,"Corea, República de",2007,4,2007-12-01,3.8390430000000002
Aguascalientes,Dinamarca,2007,4,2007-12-01,0
Aguascalientes,Ecuador,2007,4,2007-12-01,0
Aguascalientes,El Salvador,2007,4,2007-12-01,0
Aguascalientes,España,2007,4,2007-12-01,29.944736999999996
Aguascalientes,Estados Unidos de América,2007,4,2007-12-01,115.33607900000001
Aguascalientes,Francia,2007,4,2007-12-01,-8.9292640000000016
Aguascalientes,Guatemala,2007,4,2007-12-01,0
Aguascalientes,Hong Kong,2007,4,2007-12-01,0
Aguascalientes,India,2007,4,2007-12-01,0
Aguascalientes,Italia,2007,4,2007-12-01,0
Aguascalientes,Japón,2007,4,2007-12-01,52.718693999999992
Aguascalientes,Luxemburgo,2007,4,2007-12-01,0
Aguascalientes,Nicaragua,2007,4,2007-12-01,0
Aguascalientes,Países Bajos,2007,4,2007-12-01,0
Aguascalientes,Panamá,2007,4,2007-12-01,0
Aguascalientes,Perú,2007,4,2007-12-01,0
Aguascalientes,Portugal,2007,4,2007-12-01,0
Aguascalientes,Reino Unido de la Gran Bretaña e Irlanda del Norte,2007,4,2007-12-01,0.0093390000000000001
Aguascalientes,República Checa,2007,4,2007-12-01,1.1540170000000001
Aguascalientes,Singapur,2007,4,2007-12-01,-0.00079299999999999998
Aguascalientes,Suecia,2007,4,2007-12-01,0
Aguascalientes,Suiza,2007,4,2007-12-01,0
Aguascalientes,Taiwán,2007,4,2007-12-01,0
Aguascalientes,Uruguay,2007,4,2007-12-01,0
Aguascalientes,"Venezuela, República Bolivariana de",2007,4,2007-12-01,0
Aguascalientes,Otros países,2007,4,2007-12-01,0.57577899999999982
Aguascalientes,Alemania,2008,1,2008-03-01,0.88601899999999989
Aguascalientes,Argentina,2008,1,2008-03-01,0
Aguascalientes,Australia,2008,1,2008-03-01,0
Aguascalientes,Austria,2008,1,2008-03-01,0
Aguascalientes,Bélgica,2008,1,2008-03-01,0
Aguascalientes,Brasil,2008,1,2008-03-01,-2.7820010000000002
Aguascalientes,Canadá,2008,1,2008-03-01,-0.11688699999999999
Aguascalientes,Chile,2008,1,2008-03-01,0
Aguascalientes,"China, República Popular de",2008,1,2008-03-01,0
Aguascalientes,Colombia,2008,1,2008-03-01,1.8e-05
Aguascalientes,"Corea, República de",2008,1,2008-03-01,0
Aguascalientes,Dinamarca,2008,1,2008-03-01,-0.050992000000000003
Aguascalientes,Ecuador,2008,1,2008-03-01,0
Aguascalientes,El Salvador,2008,1,2008-03-01,0
Aguascalientes,España,2008,1,2008-03-01,2.1631490000000002
Aguascalientes,Estados Unidos de América,2008,1,2008-03-01,21.26858158000001
Aguascalientes,Francia,2008,1,2008-03-01,1.3509510000000002
Aguascalientes,Guatemala,2008,1,2008-03-01,0
Aguascalientes,Hong Kong,2008,1,2008-03-01,0
Aguascalientes,India,2008,1,2008-03-01,0
Aguascalientes,Italia,2008,1,2008-03-01,0
Aguascalientes,Japón,2008,1,2008-03-01,285.03232600000001
Aguascalientes,Luxemburgo,2008,1,2008-03-01,0
Aguascalientes,Nicaragua,2008,1,2008-03-01,0
Aguascalientes,Países Bajos,2008,1,2008-03-01,0
Aguascalientes,Panamá,2008,1,2008-03-01,0
Aguascalientes,Perú,2008,1,2008-03-01,0
Aguascalientes,Portugal,2008,1,2008-03-01,0
Aguascalientes,Reino Unido de la Gran Bretaña e Irlanda del Norte,2008,1,2008-03-01,0.0027190000000000001
Aguascalientes,República Checa,2008,1,2008-03-01,1.0530820000000001
Aguascalientes,Singapur,2008,1,2008-03-01,0
Aguascalientes,Suecia,2008,1,2008-03-01,1.187819
Aguascalientes,Suiza,2008,1,2008-03-01,0
Aguascalientes,Taiwán,2008,1,2008-03-01,0
Aguascalientes,Uruguay,2008,1,2008-03-01,0
Aguascalientes,"Venezuela, República Bolivariana de",2008,1,2008-03-01,0
Aguascalientes,Otros países,2008,1,2008-03-01,2.5575359999999998
Aguascalientes,Alemania,2008,2,2008-06-01,1.0440449999999999
Aguascalientes,Argentina,2008,2,2008-06-01,0
Aguascalientes,Australia,2008,2,2008-06-01,0
Aguascalientes,Austria,2008,2,2008-06-01,0
Aguascalientes,Bélgica,2008,2,2008-06-01,1.4671430000000001
Aguascalientes,Brasil,2008,2,2008-06-01,2.2338629999999999
Aguascalientes,Canadá,2008,2,2008-06-01,2.4475389999999999
Aguascalientes,Chile,2008,2,2008-06-01,0
Aguascalientes,"China, República Popular de",2008,2,2008-06-01,0
Aguascalientes,Colombia,2008,2,2008-06-01,-0.00017799999999999999
Aguascalientes,"Corea, República de",2008,2,2008-06-01,1.6023700000000001
Aguascalientes,Dinamarca,2008,2,2008-06-01,0
Aguascalientes,Ecuador,2008,2,2008-06-01,0
Aguascalientes,El Salvador,2008,2,2008-06-01,0
Aguascalientes,España,2008,2,2008-06-01,6.1656280000000008
Aguascalientes,Estados Unidos de América,2008,2,2008-06-01,-5.4361739999999967
Aguascalientes,Francia,2008,2,2008-06-01,-0.62912000000000001
Aguascalientes,Guatemala,2008,2,2008-06-01,0
Aguascalientes,Hong Kong,2008,2,2008-06-01,0
Aguascalientes,India,2008,2,2008-06-01,0
Aguascalientes,Italia,2008,2,2008-06-01,0
Aguascalientes,Japón,2008,2,2008-06-01,-96.904538000000002
Aguascalientes,Luxemburgo,2008,2,2008-06-01,0
Aguascalientes,Nicaragua,2008,2,2008-06-01,0
Aguascalientes,Países Bajos,2008,2,2008-06-01,0
Aguascalientes,Panamá,2008,2,2008-06-01,0
Aguascalientes,Perú,2008,2,2008-06-01,0
Aguascalientes,Portugal,2008,2,2008-06-01,0
Aguascalientes,Reino Unido de la Gran Bretaña e Irlanda del Norte,2008,2,2008-06-01,2.6997789999999999
Aguascalientes,República Checa,2008,2,2008-06-01,1.281833
Aguascalientes,Singapur,2008,2,2008-06-01,0.047856999999999997
Aguascalientes,Suecia,2008,2,2008-06-01,0.53748200000000002
Aguascalientes,Suiza,2008,2,2008-06-01,5.0656610000000004
Aguascalientes,Taiwán,2008,2,2008-06-01,0
Aguascalientes,Uruguay,2008,2,2008-06-01,0
Aguascalientes,"Venezuela, República Bolivariana de",2008,2,2008-06-01,0
Aguascalientes,Otros países,2008,2,2008-06-01,0.17049499999999998
Aguascalientes,Alemania,2008,3,2008-09-01,0.63466299999999998
Aguascalientes,Argentina,2008,3,2008-09-01,0
Aguascalientes,Australia,2008,3,2008-09-01,0
Aguascalientes,Austria,2008,3,2008-09-01,0
Aguascalientes,Bélgica,2008,3,2008-09-01,9.9999999999999995e-07
Aguascalientes,Brasil,2008,3,2008-09-01,3.721784
Aguascalientes,Canadá,2008,3,2008-09-01,-0.125305
Aguascalientes,Chile,2008,3,2008-09-01,0
Aguascalientes,"China, República Popular de",2008,3,2008-09-01,0
Aguascalientes,Colombia,2008,3,2008-09-01,0
Aguascalientes,"Corea, República de",2008,3,2008-09-01,8.7658970000000007
Aguascalientes,Dinamarca,2008,3,2008-09-01,0
Aguascalientes,Ecuador,2008,3,2008-09-01,0
Aguascalientes,El Salvador,2008,3,2008-09-01,0
Aguascalientes,España,2008,3,2008-09-01,-0.5522990000000001
Aguascalientes,Estados Unidos de América,2008,3,2008-09-01,12.803222000000002
Aguascalientes,Francia,2008,3,2008-09-01,7.5190470000000005
Aguascalientes,Guatemala,2008,3,2008-09-01,0.0043779999999999999
Aguascalientes,Hong Kong,2008,3,2008-09-01,0
Aguascalientes,India,2008,3,2008-09-01,0
Aguascalientes,Italia,2008,3,2008-09-01,0
Aguascalientes,Japón,2008,3,2008-09-01,16.220711000000001
Aguascalientes,Luxemburgo,2008,3,2008-09-01,0
Aguascalientes,Nicaragua,2008,3,2008-09-01,0
Aguascalientes,Países Bajos,2008,3,2008-09-01,0
Aguascalientes,Panamá,2008,3,2008-09-01,0
Aguascalientes,Perú,2008,3,2008-09-01,0
Aguascalientes,Portugal,2008,3,2008-09-01,0
Aguascalientes,Reino Unido de la Gran Bretaña e Irlanda del Norte,2008,3,2008-09-01,0.001802
Aguascalientes,República Checa,2008,3,2008-09-01,1.4290670000000001
Aguascalientes,Singapur,2008,3,2008-09-01,0
Aguascalientes,Suecia,2008,3,2008-09-01,-1.7202219999999999
Aguascalientes,Suiza,2008,3,2008-09-01,0
Aguascalientes,Taiwán,2008,3,2008-09-01,0
Aguascalientes,Uruguay,2008,3,2008-09-01,0
Aguascalientes,"Venezuela, República Bolivariana de",2008,3,2008-09-01,0
Aguascalientes,Otros países,2008,3,2008-09-01,0.11700000000000001
Aguascalientes,Alemania,2008,4,2008-12-01,0.64381900000000003
Aguascalientes,Argentina,2008,4,2008-12-01,0
Aguascalientes,Australia,2008,4,2008-12-01,0
Aguascalientes,Austria,2008,4,2008-12-01,0
Aguascalientes,Bélgica,2008,4,2008-12-01,0
Aguascalientes,Brasil,2008,4,2008-12-01,-5.3953439999999997
Aguascalientes,Canadá,2008,4,2008-12-01,7.9999999999999996e-06
